id,edad_1,edad_2,hijos,tipo,group
1818011,18,18,1,D,4
1818021,18,18,2,D,4
1818001,18,18,0,D,3
1818031,18,18,3,D,4
1818041,18,18,4,D,4
1818051,18,18,5,D,4
1919011,19,19,1,D,4
1919021,19,19,2,D,4
1919001,19,19,0,D,3
1919031,19,19,3,D,4
1919041,19,19,4,D,4
1919051,19,19,5,D,4
1819001,18,19,0,D,3
1819011,18,19,1,D,4
1819021,18,19,2,D,4
1819031,18,19,3,D,4
1819041,18,19,4,D,4
1819051,18,19,5,D,4
2020011,20,20,1,D,4
2020021,20,20,2,D,4
2020001,20,20,0,D,3
2020031,20,20,3,D,4
2020041,20,20,4,D,4
2020051,20,20,5,D,4
1820001,18,20,0,D,3
1920001,19,20,0,D,3
1820011,18,20,1,D,4
1920011,19,20,1,D,4
1820021,18,20,2,D,4
1920021,19,20,2,D,4
1820031,18,20,3,D,4
1920031,19,20,3,D,4
1820041,18,20,4,D,4
1920041,19,20,4,D,4
1820051,18,20,5,D,4
1920051,19,20,5,D,4
2121011,21,21,1,D,4
2121021,21,21,2,D,4
2121001,21,21,0,D,3
2121031,21,21,3,D,4
2121041,21,21,4,D,4
2121051,21,21,5,D,4
1821001,18,21,0,D,3
1921001,19,21,0,D,3
2021001,20,21,0,D,3
1821011,18,21,1,D,4
1921011,19,21,1,D,4
2021011,20,21,1,D,4
1821021,18,21,2,D,4
1921021,19,21,2,D,4
2021021,20,21,2,D,4
1821031,18,21,3,D,4
1921031,19,21,3,D,4
2021031,20,21,3,D,4
1821041,18,21,4,D,4
1921041,19,21,4,D,4
2021041,20,21,4,D,4
1821051,18,21,5,D,4
1921051,19,21,5,D,4
2021051,20,21,5,D,4
2222011,22,22,1,D,4
2222021,22,22,2,D,4
2222001,22,22,0,D,3
2222031,22,22,3,D,4
2222041,22,22,4,D,4
2222051,22,22,5,D,4
1822001,18,22,0,D,3
1922001,19,22,0,D,3
2022001,20,22,0,D,3
2122001,21,22,0,D,3
1822011,18,22,1,D,4
1922011,19,22,1,D,4
2022011,20,22,1,D,4
2122011,21,22,1,D,4
1822021,18,22,2,D,4
1922021,19,22,2,D,4
2022021,20,22,2,D,4
2122021,21,22,2,D,4
1822031,18,22,3,D,4
1922031,19,22,3,D,4
2022031,20,22,3,D,4
2122031,21,22,3,D,4
1822041,18,22,4,D,4
1922041,19,22,4,D,4
2022041,20,22,4,D,4
2122041,21,22,4,D,4
1822051,18,22,5,D,4
1922051,19,22,5,D,4
2022051,20,22,5,D,4
2122051,21,22,5,D,4
2323011,23,23,1,D,4
2323021,23,23,2,D,4
2323001,23,23,0,D,3
2323031,23,23,3,D,4
2323041,23,23,4,D,4
2323051,23,23,5,D,4
1823001,18,23,0,D,3
1923001,19,23,0,D,3
2023001,20,23,0,D,3
2123001,21,23,0,D,3
2223001,22,23,0,D,3
1823011,18,23,1,D,4
1923011,19,23,1,D,4
2023011,20,23,1,D,4
2123011,21,23,1,D,4
2223011,22,23,1,D,4
1823021,18,23,2,D,4
1923021,19,23,2,D,4
2023021,20,23,2,D,4
2123021,21,23,2,D,4
2223021,22,23,2,D,4
1823031,18,23,3,D,4
1923031,19,23,3,D,4
2023031,20,23,3,D,4
2123031,21,23,3,D,4
2223031,22,23,3,D,4
1823041,18,23,4,D,4
1923041,19,23,4,D,4
2023041,20,23,4,D,4
2123041,21,23,4,D,4
2223041,22,23,4,D,4
1823051,18,23,5,D,4
1923051,19,23,5,D,4
2023051,20,23,5,D,4
2123051,21,23,5,D,4
2223051,22,23,5,D,4
2424011,24,24,1,D,4
2424021,24,24,2,D,4
2424001,24,24,0,D,3
2424031,24,24,3,D,4
2424041,24,24,4,D,4
2424051,24,24,5,D,4
1824001,18,24,0,D,3
1924001,19,24,0,D,3
2024001,20,24,0,D,3
2124001,21,24,0,D,3
2224001,22,24,0,D,3
2324001,23,24,0,D,3
1824011,18,24,1,D,4
1924011,19,24,1,D,4
2024011,20,24,1,D,4
2124011,21,24,1,D,4
2224011,22,24,1,D,4
2324011,23,24,1,D,4
1824021,18,24,2,D,4
1924021,19,24,2,D,4
2024021,20,24,2,D,4
2124021,21,24,2,D,4
2224021,22,24,2,D,4
2324021,23,24,2,D,4
1824031,18,24,3,D,4
1924031,19,24,3,D,4
2024031,20,24,3,D,4
2124031,21,24,3,D,4
2224031,22,24,3,D,4
2324031,23,24,3,D,4
1824041,18,24,4,D,4
1924041,19,24,4,D,4
2024041,20,24,4,D,4
2124041,21,24,4,D,4
2224041,22,24,4,D,4
2324041,23,24,4,D,4
1824051,18,24,5,D,4
1924051,19,24,5,D,4
2024051,20,24,5,D,4
2124051,21,24,5,D,4
2224051,22,24,5,D,4
2324051,23,24,5,D,4
2525011,25,25,1,D,4
2525021,25,25,2,D,4
2525001,25,25,0,D,3
2525031,25,25,3,D,4
2525041,25,25,4,D,4
2525051,25,25,5,D,4
1825001,18,25,0,D,3
1925001,19,25,0,D,3
2025001,20,25,0,D,3
2125001,21,25,0,D,3
2225001,22,25,0,D,3
2325001,23,25,0,D,3
2425001,24,25,0,D,3
1825011,18,25,1,D,4
1925011,19,25,1,D,4
2025011,20,25,1,D,4
2125011,21,25,1,D,4
2225011,22,25,1,D,4
2325011,23,25,1,D,4
2425011,24,25,1,D,4
1825021,18,25,2,D,4
1925021,19,25,2,D,4
2025021,20,25,2,D,4
2125021,21,25,2,D,4
2225021,22,25,2,D,4
2325021,23,25,2,D,4
2425021,24,25,2,D,4
1825031,18,25,3,D,4
1925031,19,25,3,D,4
2025031,20,25,3,D,4
2125031,21,25,3,D,4
2225031,22,25,3,D,4
2325031,23,25,3,D,4
2425031,24,25,3,D,4
1825041,18,25,4,D,4
1925041,19,25,4,D,4
2025041,20,25,4,D,4
2125041,21,25,4,D,4
2225041,22,25,4,D,4
2325041,23,25,4,D,4
2425041,24,25,4,D,4
1825051,18,25,5,D,4
1925051,19,25,5,D,4
2025051,20,25,5,D,4
2125051,21,25,5,D,4
2225051,22,25,5,D,4
2325051,23,25,5,D,4
2425051,24,25,5,D,4
2626011,26,26,1,D,4
2626021,26,26,2,D,4
2626001,26,26,0,D,3
2626031,26,26,3,D,4
2626041,26,26,4,D,4
2626051,26,26,5,D,4
1826001,18,26,0,D,3
1926001,19,26,0,D,3
2026001,20,26,0,D,3
2126001,21,26,0,D,3
2226001,22,26,0,D,3
2326001,23,26,0,D,3
2426001,24,26,0,D,3
2526001,25,26,0,D,3
1826011,18,26,1,D,4
1926011,19,26,1,D,4
2026011,20,26,1,D,4
2126011,21,26,1,D,4
2226011,22,26,1,D,4
2326011,23,26,1,D,4
2426011,24,26,1,D,4
2526011,25,26,1,D,4
1826021,18,26,2,D,4
1926021,19,26,2,D,4
2026021,20,26,2,D,4
2126021,21,26,2,D,4
2226021,22,26,2,D,4
2326021,23,26,2,D,4
2426021,24,26,2,D,4
2526021,25,26,2,D,4
1826031,18,26,3,D,4
1926031,19,26,3,D,4
2026031,20,26,3,D,4
2126031,21,26,3,D,4
2226031,22,26,3,D,4
2326031,23,26,3,D,4
2426031,24,26,3,D,4
2526031,25,26,3,D,4
1826041,18,26,4,D,4
1926041,19,26,4,D,4
2026041,20,26,4,D,4
2126041,21,26,4,D,4
2226041,22,26,4,D,4
2326041,23,26,4,D,4
2426041,24,26,4,D,4
2526041,25,26,4,D,4
1826051,18,26,5,D,4
1926051,19,26,5,D,4
2026051,20,26,5,D,4
2126051,21,26,5,D,4
2226051,22,26,5,D,4
2326051,23,26,5,D,4
2426051,24,26,5,D,4
2526051,25,26,5,D,4
2727011,27,27,1,D,4
2727021,27,27,2,D,4
2727001,27,27,0,D,3
2727031,27,27,3,D,4
2727041,27,27,4,D,4
2727051,27,27,5,D,4
1827001,18,27,0,D,3
1927001,19,27,0,D,3
2027001,20,27,0,D,3
2127001,21,27,0,D,3
2227001,22,27,0,D,3
2327001,23,27,0,D,3
2427001,24,27,0,D,3
2527001,25,27,0,D,3
2627001,26,27,0,D,3
1827011,18,27,1,D,4
1927011,19,27,1,D,4
2027011,20,27,1,D,4
2127011,21,27,1,D,4
2227011,22,27,1,D,4
2327011,23,27,1,D,4
2427011,24,27,1,D,4
2527011,25,27,1,D,4
2627011,26,27,1,D,4
1827021,18,27,2,D,4
1927021,19,27,2,D,4
2027021,20,27,2,D,4
2127021,21,27,2,D,4
2227021,22,27,2,D,4
2327021,23,27,2,D,4
2427021,24,27,2,D,4
2527021,25,27,2,D,4
2627021,26,27,2,D,4
1827031,18,27,3,D,4
1927031,19,27,3,D,4
2027031,20,27,3,D,4
2127031,21,27,3,D,4
2227031,22,27,3,D,4
2327031,23,27,3,D,4
2427031,24,27,3,D,4
2527031,25,27,3,D,4
2627031,26,27,3,D,4
1827041,18,27,4,D,4
1927041,19,27,4,D,4
2027041,20,27,4,D,4
2127041,21,27,4,D,4
2227041,22,27,4,D,4
2327041,23,27,4,D,4
2427041,24,27,4,D,4
2527041,25,27,4,D,4
2627041,26,27,4,D,4
1827051,18,27,5,D,4
1927051,19,27,5,D,4
2027051,20,27,5,D,4
2127051,21,27,5,D,4
2227051,22,27,5,D,4
2327051,23,27,5,D,4
2427051,24,27,5,D,4
2527051,25,27,5,D,4
2627051,26,27,5,D,4
2828011,28,28,1,D,4
2828021,28,28,2,D,4
2828001,28,28,0,D,3
2828031,28,28,3,D,4
2828041,28,28,4,D,4
2828051,28,28,5,D,4
1828001,18,28,0,D,3
1928001,19,28,0,D,3
2028001,20,28,0,D,3
2128001,21,28,0,D,3
2228001,22,28,0,D,3
2328001,23,28,0,D,3
2428001,24,28,0,D,3
2528001,25,28,0,D,3
2628001,26,28,0,D,3
2728001,27,28,0,D,3
1828011,18,28,1,D,4
1928011,19,28,1,D,4
2028011,20,28,1,D,4
2128011,21,28,1,D,4
2228011,22,28,1,D,4
2328011,23,28,1,D,4
2428011,24,28,1,D,4
2528011,25,28,1,D,4
2628011,26,28,1,D,4
2728011,27,28,1,D,4
1828021,18,28,2,D,4
1928021,19,28,2,D,4
2028021,20,28,2,D,4
2128021,21,28,2,D,4
2228021,22,28,2,D,4
2328021,23,28,2,D,4
2428021,24,28,2,D,4
2528021,25,28,2,D,4
2628021,26,28,2,D,4
2728021,27,28,2,D,4
1828031,18,28,3,D,4
1928031,19,28,3,D,4
2028031,20,28,3,D,4
2128031,21,28,3,D,4
2228031,22,28,3,D,4
2328031,23,28,3,D,4
2428031,24,28,3,D,4
2528031,25,28,3,D,4
2628031,26,28,3,D,4
2728031,27,28,3,D,4
1828041,18,28,4,D,4
1928041,19,28,4,D,4
2028041,20,28,4,D,4
2128041,21,28,4,D,4
2228041,22,28,4,D,4
2328041,23,28,4,D,4
2428041,24,28,4,D,4
2528041,25,28,4,D,4
2628041,26,28,4,D,4
2728041,27,28,4,D,4
1828051,18,28,5,D,4
1928051,19,28,5,D,4
2028051,20,28,5,D,4
2128051,21,28,5,D,4
2228051,22,28,5,D,4
2328051,23,28,5,D,4
2428051,24,28,5,D,4
2528051,25,28,5,D,4
2628051,26,28,5,D,4
2728051,27,28,5,D,4
2929011,29,29,1,D,4
2929021,29,29,2,D,4
2929001,29,29,0,D,3
2929031,29,29,3,D,4
2929041,29,29,4,D,4
2929051,29,29,5,D,4
1829001,18,29,0,D,3
1929001,19,29,0,D,3
2029001,20,29,0,D,3
2129001,21,29,0,D,3
2229001,22,29,0,D,3
2329001,23,29,0,D,3
2429001,24,29,0,D,3
2529001,25,29,0,D,3
2629001,26,29,0,D,3
2729001,27,29,0,D,3
2829001,28,29,0,D,3
1829011,18,29,1,D,4
1929011,19,29,1,D,4
2029011,20,29,1,D,4
2129011,21,29,1,D,4
2229011,22,29,1,D,4
2329011,23,29,1,D,4
2429011,24,29,1,D,4
2529011,25,29,1,D,4
2629011,26,29,1,D,4
2729011,27,29,1,D,4
2829011,28,29,1,D,4
1829021,18,29,2,D,4
1929021,19,29,2,D,4
2029021,20,29,2,D,4
2129021,21,29,2,D,4
2229021,22,29,2,D,4
2329021,23,29,2,D,4
2429021,24,29,2,D,4
2529021,25,29,2,D,4
2629021,26,29,2,D,4
2729021,27,29,2,D,4
2829021,28,29,2,D,4
1829031,18,29,3,D,4
1929031,19,29,3,D,4
2029031,20,29,3,D,4
2129031,21,29,3,D,4
2229031,22,29,3,D,4
2329031,23,29,3,D,4
2429031,24,29,3,D,4
2529031,25,29,3,D,4
2629031,26,29,3,D,4
2729031,27,29,3,D,4
2829031,28,29,3,D,4
1829041,18,29,4,D,4
1929041,19,29,4,D,4
2029041,20,29,4,D,4
2129041,21,29,4,D,4
2229041,22,29,4,D,4
2329041,23,29,4,D,4
2429041,24,29,4,D,4
2529041,25,29,4,D,4
2629041,26,29,4,D,4
2729041,27,29,4,D,4
2829041,28,29,4,D,4
1829051,18,29,5,D,4
1929051,19,29,5,D,4
2029051,20,29,5,D,4
2129051,21,29,5,D,4
2229051,22,29,5,D,4
2329051,23,29,5,D,4
2429051,24,29,5,D,4
2529051,25,29,5,D,4
2629051,26,29,5,D,4
2729051,27,29,5,D,4
2829051,28,29,5,D,4
3030001,30,30,0,D,3
3030011,30,30,1,D,4
3030021,30,30,2,D,4
3030031,30,30,3,D,4
3030041,30,30,4,D,4
3030051,30,30,5,D,4
1830001,18,30,0,D,3
1930001,19,30,0,D,3
2030001,20,30,0,D,3
2130001,21,30,0,D,3
2230001,22,30,0,D,3
2330001,23,30,0,D,3
2430001,24,30,0,D,3
2530001,25,30,0,D,3
2630001,26,30,0,D,3
2730001,27,30,0,D,3
2830001,28,30,0,D,3
2930001,29,30,0,D,3
1830011,18,30,1,D,4
1930011,19,30,1,D,4
2030011,20,30,1,D,4
2130011,21,30,1,D,4
2230011,22,30,1,D,4
2330011,23,30,1,D,4
2430011,24,30,1,D,4
2530011,25,30,1,D,4
2630011,26,30,1,D,4
2730011,27,30,1,D,4
2830011,28,30,1,D,4
2930011,29,30,1,D,4
1830021,18,30,2,D,4
1930021,19,30,2,D,4
2030021,20,30,2,D,4
2130021,21,30,2,D,4
2230021,22,30,2,D,4
2330021,23,30,2,D,4
2430021,24,30,2,D,4
2530021,25,30,2,D,4
2630021,26,30,2,D,4
2730021,27,30,2,D,4
2830021,28,30,2,D,4
2930021,29,30,2,D,4
1830031,18,30,3,D,4
1930031,19,30,3,D,4
2030031,20,30,3,D,4
2130031,21,30,3,D,4
2230031,22,30,3,D,4
2330031,23,30,3,D,4
2430031,24,30,3,D,4
2530031,25,30,3,D,4
2630031,26,30,3,D,4
2730031,27,30,3,D,4
2830031,28,30,3,D,4
2930031,29,30,3,D,4
1830041,18,30,4,D,4
1930041,19,30,4,D,4
2030041,20,30,4,D,4
2130041,21,30,4,D,4
2230041,22,30,4,D,4
2330041,23,30,4,D,4
2430041,24,30,4,D,4
2530041,25,30,4,D,4
2630041,26,30,4,D,4
2730041,27,30,4,D,4
2830041,28,30,4,D,4
2930041,29,30,4,D,4
1830051,18,30,5,D,4
1930051,19,30,5,D,4
2030051,20,30,5,D,4
2130051,21,30,5,D,4
2230051,22,30,5,D,4
2330051,23,30,5,D,4
2430051,24,30,5,D,4
2530051,25,30,5,D,4
2630051,26,30,5,D,4
2730051,27,30,5,D,4
2830051,28,30,5,D,4
2930051,29,30,5,D,4
3131001,31,31,0,D,3
3131011,31,31,1,D,4
3131021,31,31,2,D,4
3131031,31,31,3,D,4
3131041,31,31,4,D,4
3131051,31,31,5,D,4
1831001,18,31,0,D,3
1931001,19,31,0,D,3
2031001,20,31,0,D,3
2131001,21,31,0,D,3
2231001,22,31,0,D,3
2331001,23,31,0,D,3
2431001,24,31,0,D,3
2531001,25,31,0,D,3
2631001,26,31,0,D,3
2731001,27,31,0,D,3
2831001,28,31,0,D,3
2931001,29,31,0,D,3
3031001,30,31,0,D,3
1831011,18,31,1,D,4
1931011,19,31,1,D,4
2031011,20,31,1,D,4
2131011,21,31,1,D,4
2231011,22,31,1,D,4
2331011,23,31,1,D,4
2431011,24,31,1,D,4
2531011,25,31,1,D,4
2631011,26,31,1,D,4
2731011,27,31,1,D,4
2831011,28,31,1,D,4
2931011,29,31,1,D,4
3031011,30,31,1,D,4
1831021,18,31,2,D,4
1931021,19,31,2,D,4
2031021,20,31,2,D,4
2131021,21,31,2,D,4
2231021,22,31,2,D,4
2331021,23,31,2,D,4
2431021,24,31,2,D,4
2531021,25,31,2,D,4
2631021,26,31,2,D,4
2731021,27,31,2,D,4
2831021,28,31,2,D,4
2931021,29,31,2,D,4
3031021,30,31,2,D,4
1831031,18,31,3,D,4
1931031,19,31,3,D,4
2031031,20,31,3,D,4
2131031,21,31,3,D,4
2231031,22,31,3,D,4
2331031,23,31,3,D,4
2431031,24,31,3,D,4
2531031,25,31,3,D,4
2631031,26,31,3,D,4
2731031,27,31,3,D,4
2831031,28,31,3,D,4
2931031,29,31,3,D,4
3031031,30,31,3,D,4
1831041,18,31,4,D,4
1931041,19,31,4,D,4
2031041,20,31,4,D,4
2131041,21,31,4,D,4
2231041,22,31,4,D,4
2331041,23,31,4,D,4
2431041,24,31,4,D,4
2531041,25,31,4,D,4
2631041,26,31,4,D,4
