_id,id,group,edad_1,edad_2,hijos,tipo,,,,,,,,,,,,,,,,,,,,
1800001,1800001,1,18,0,0,D,,,1818,18,18,1818,1,18,18,1818,1818,1818,1818,,1818,1818,18180,0,0,1818000
1818001,1818001,3,18,18,0,D,,,1819,18,19,1819,,19,18,1918,1918,1819,1819,,1819,1918,19180,0,0,1918000
1819001,1819001,3,18,19,0,D,,,1820,18,20,1820,,20,18,2018,2018,1820,1820,,1820,2018,20180,0,0,2018000
1820001,1820001,3,18,20,0,D,,,1821,18,21,1821,,21,18,2118,2118,1821,1821,,1821,2118,21180,0,0,2118000
1821001,1821001,3,18,21,0,D,,,1822,18,22,1822,,22,18,2218,2218,1822,1822,,1822,2218,22180,0,0,2218000
1822001,1822001,3,18,22,0,D,,,1823,18,23,1823,,23,18,2318,2318,1823,1823,,1823,2318,23180,0,0,2318000
1823001,1823001,3,18,23,0,D,,,1824,18,24,1824,,24,18,2418,2418,1824,1824,,1824,2418,24180,0,0,2418000
1824001,1824001,3,18,24,0,D,,,1825,18,25,1825,,25,18,2518,2518,1825,1825,,1825,2518,25180,0,0,2518000
1825001,1825001,3,18,25,0,D,,,1826,18,26,1826,,26,18,2618,2618,1826,1826,,1826,2618,26180,0,0,2618000
1826001,1826001,3,18,26,0,D,,,1827,18,27,1827,,27,18,2718,2718,1827,1827,,1827,2718,27180,0,0,2718000
1827001,1827001,3,18,27,0,D,,,1828,18,28,1828,,28,18,2818,2818,1828,1828,,1828,2818,28180,0,0,2818000
1828001,1828001,3,18,28,0,D,,,1829,18,29,1829,,29,18,2918,2918,1829,1829,,1829,2918,29180,0,0,2918000
1829001,1829001,3,18,29,0,D,,,1830,18,30,1830,,30,18,3018,3018,1830,1830,,1830,3018,30180,0,0,3018000
1830001,1830001,3,18,30,0,D,,,1831,18,31,1831,,31,18,3118,3118,1831,1831,,1831,3118,31180,0,0,3118000
1831001,1831001,3,18,31,0,D,,,1832,18,32,1832,,32,18,3218,3218,1832,1832,,1832,3218,32180,0,0,3218000
1832001,1832001,3,18,32,0,D,,,1833,18,33,1833,,33,18,3318,3318,1833,1833,,1833,3318,33180,0,0,3318000
1833001,1833001,3,18,33,0,D,,,1834,18,34,1834,,34,18,3418,3418,1834,1834,,1834,3418,34180,0,0,3418000
1834001,1834001,3,18,34,0,D,,,1835,18,35,1835,,35,18,3518,3518,1835,1835,,1835,3518,35180,0,0,3518000
1835001,1835001,3,18,35,0,D,,,1836,18,36,1836,,36,18,3618,3618,1836,1836,,1836,3618,36180,0,0,3618000
1836001,1836001,3,18,36,0,D,,,1837,18,37,1837,,37,18,3718,3718,1837,1837,,1837,3718,37180,0,0,3718000
1837001,1837001,3,18,37,0,D,,,1838,18,38,1838,,38,18,3818,3818,1838,1838,,1838,3818,38180,0,0,3818000
1838001,1838001,3,18,38,0,D,,,1839,18,39,1839,,39,18,3918,3918,1839,1839,,1839,3918,39180,0,0,3918000
1839001,1839001,3,18,39,0,D,,,1840,18,40,1840,,40,18,4018,4018,1840,1840,,1840,4018,40180,0,0,4018000
1840001,1840001,3,18,40,0,D,,,1841,18,41,1841,,41,18,4118,4118,1841,1841,,1841,4118,41180,0,0,4118000
1800011,1800011,2,18,0,1,D,,,1842,18,42,1842,,42,18,4218,4218,1842,1842,,1842,4218,42180,0,0,4218000
1818011,1818011,4,18,18,1,D,,,1843,18,43,1843,,43,18,4318,4318,1843,1843,,1843,4318,43180,0,0,4318000
1819011,1819011,4,18,19,1,D,,,1844,18,44,1844,,44,18,4418,4418,1844,1844,,1844,4418,44180,0,0,4418000
1820011,1820011,4,18,20,1,D,,,1845,18,45,1845,,45,18,4518,4518,1845,1845,,1845,4518,45180,0,0,4518000
1821011,1821011,4,18,21,1,D,,,1846,18,46,1846,,46,18,4618,4618,1846,1846,,1846,4618,46180,0,0,4618000
1822011,1822011,4,18,22,1,D,,,1847,18,47,1847,,47,18,4718,4718,1847,1847,,1847,4718,47180,0,0,4718000
1823011,1823011,4,18,23,1,D,,,1848,18,48,1848,,48,18,4818,4818,1848,1848,,1848,4818,48180,0,0,4818000
1824011,1824011,4,18,24,1,D,,,1849,18,49,1849,,49,18,4918,4918,1849,1849,,1849,4918,49180,0,0,4918000
1825011,1825011,4,18,25,1,D,,,1850,18,50,1850,,50,18,5018,5018,1850,1850,,1850,5018,50180,0,0,5018000
1826011,1826011,4,18,26,1,D,,,1851,18,51,1851,,51,18,5118,5118,1851,1851,,1851,5118,51180,0,0,5118000
1827011,1827011,4,18,27,1,D,,,1852,18,52,1852,,52,18,5218,5218,1852,1852,,1852,5218,52180,0,0,5218000
1828011,1828011,4,18,28,1,D,,,1853,18,53,1853,,53,18,5318,5318,1853,1853,,1853,5318,53180,0,0,5318000
1829011,1829011,4,18,29,1,D,,,1854,18,54,1854,,54,18,5418,5418,1854,1854,,1854,5418,54180,0,0,5418000
1830011,1830011,4,18,30,1,D,,,1855,18,55,1855,,55,18,5518,5518,1855,1855,,1855,5518,55180,0,0,5518000
1831011,1831011,4,18,31,1,D,,,1856,18,56,1856,,56,18,5618,5618,1856,1856,,1856,5618,56180,0,0,5618000
1832011,1832011,4,18,32,1,D,,,1857,18,57,1857,,57,18,5718,5718,1857,1857,,1857,5718,57180,0,0,5718000
1833011,1833011,4,18,33,1,D,,,1858,18,58,1858,,58,18,5818,5818,1858,1858,,1858,5818,58180,0,0,5818000
1834011,1834011,4,18,34,1,D,,,1859,18,59,1859,,59,18,5918,5918,1859,1859,,1859,5918,59180,0,0,5918000
1835011,1835011,4,18,35,1,D,,,1860,18,60,1860,,60,18,6018,6018,1860,1860,,1860,6018,60180,0,0,6018000
1836011,1836011,4,18,36,1,D,,,1861,18,61,1861,,61,18,6118,6118,1861,1861,,1861,6118,61180,0,0,6118000
1837011,1837011,4,18,37,1,D,,,1862,18,62,1862,,62,18,6218,6218,1862,1862,,1862,6218,62180,0,0,6218000
1838011,1838011,4,18,38,1,D,,,1863,18,63,1863,,63,18,6318,6318,1863,1863,,1863,6318,63180,0,0,6318000
1839011,1839011,4,18,39,1,D,,,1864,18,64,1864,,64,18,6418,6418,1864,1864,,1864,6418,64180,0,0,6418000
1800021,1800021,2,18,0,2,D,,,1919,19,19,1919,1,19,19,1919,1919,1919,1919,,1919,1919,19190,0,0,1919000
1818021,1818021,4,18,18,2,D,,,1920,19,20,1920,,20,19,2019,2019,1920,1920,,1920,2019,20190,0,0,2019000
1819021,1819021,4,18,19,2,D,,,1921,19,21,1921,,21,19,2119,2119,1921,1921,,1921,2119,21190,0,0,2119000
1820021,1820021,4,18,20,2,D,,,1922,19,22,1922,,22,19,2219,2219,1922,1922,,1922,2219,22190,0,0,2219000
1821021,1821021,4,18,21,2,D,,,1923,19,23,1923,,23,19,2319,2319,1923,1923,,1923,2319,23190,0,0,2319000
1822021,1822021,4,18,22,2,D,,,1924,19,24,1924,,24,19,2419,2419,1924,1924,,1924,2419,24190,0,0,2419000
1823021,1823021,4,18,23,2,D,,,1925,19,25,1925,,25,19,2519,2519,1925,1925,,1925,2519,25190,0,0,2519000
1824021,1824021,4,18,24,2,D,,,1926,19,26,1926,,26,19,2619,2619,1926,1926,,1926,2619,26190,0,0,2619000
1825021,1825021,4,18,25,2,D,,,1927,19,27,1927,,27,19,2719,2719,1927,1927,,1927,2719,27190,0,0,2719000
1826021,1826021,4,18,26,2,D,,,1928,19,28,1928,,28,19,2819,2819,1928,1928,,1928,2819,28190,0,0,2819000
1827021,1827021,4,18,27,2,D,,,1929,19,29,1929,,29,19,2919,2919,1929,1929,,1929,2919,29190,0,0,2919000
