id,edad_1,edad_2,hijos,tipo,group
1800000,18,0,0,P,1
1818000,18,18,0,P,3
1819000,18,19,0,P,3
1820000,18,20,0,P,3
1821000,18,21,0,P,3
1822000,18,22,0,P,3
1823000,18,23,0,P,3
1824000,18,24,0,P,3
1825000,18,25,0,P,3
1826000,18,26,0,P,3
1827000,18,27,0,P,3
1828000,18,28,0,P,3
1829000,18,29,0,P,3
1830000,18,30,0,P,3
1831000,18,31,0,P,3
1832000,18,32,0,P,3
1833000,18,33,0,P,3
1834000,18,34,0,P,3
1835000,18,35,0,P,3
1836000,18,36,0,P,3
1837000,18,37,0,P,3
1838000,18,38,0,P,3
1839000,18,39,0,P,3
1840000,18,40,0,P,3
1841000,18,41,0,P,3
1842000,18,42,0,P,3
1843000,18,43,0,P,3
1844000,18,44,0,P,3
1845000,18,45,0,P,3
1846000,18,46,0,P,3
1847000,18,47,0,P,3
1848000,18,48,0,P,3
1849000,18,49,0,P,3
1850000,18,50,0,P,3
1851000,18,51,0,P,3
1852000,18,52,0,P,3
1853000,18,53,0,P,3
1854000,18,54,0,P,3
1855000,18,55,0,P,3
1856000,18,56,0,P,3
1857000,18,57,0,P,3
1858000,18,58,0,P,3
1859000,18,59,0,P,3
1860000,18,60,0,P,3
1861000,18,61,0,P,3
1862000,18,62,0,P,3
1863000,18,63,0,P,3
1864000,18,64,0,P,3
1900000,19,0,0,P,1
1919000,19,19,0,P,3
1920000,19,20,0,P,3
1921000,19,21,0,P,3
1922000,19,22,0,P,3
1923000,19,23,0,P,3
1924000,19,24,0,P,3
1925000,19,25,0,P,3
1926000,19,26,0,P,3
1927000,19,27,0,P,3
1928000,19,28,0,P,3
1929000,19,29,0,P,3
1930000,19,30,0,P,3
1931000,19,31,0,P,3
1932000,19,32,0,P,3
1933000,19,33,0,P,3
1934000,19,34,0,P,3
1935000,19,35,0,P,3
1936000,19,36,0,P,3
1937000,19,37,0,P,3
1938000,19,38,0,P,3
1939000,19,39,0,P,3
1940000,19,40,0,P,3
1941000,19,41,0,P,3
1942000,19,42,0,P,3
1943000,19,43,0,P,3
1944000,19,44,0,P,3
1945000,19,45,0,P,3
1946000,19,46,0,P,3
